,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
4621,-97.84326935,30.21292877,1.98,347000,2,12,2019,26,0,4,1,1,1,0,0,0,1692,1,0,1,1,1.333333333,4.666666667,887,14,2.0,3,1,23,395000.0,0,pink
4622,-97.85338593,30.15726662,1.98,424900,3,7,2018,31,0,3,2,0,0,0,0,0,2726,1,0,1,1,1.133333333,7.333333333,1633,17,3.0,4,2,21,312900.0,0,pink
4623,-97.84152222,30.15158844,1.98,325000,2,9,2020,27,0,1,2,1,0,0,0,0,1346,1,0,1,1,1.8,5.666666667,1595,17,2.0,3,1,17,312900.0,0,pink
4624,-97.79382324,30.13969231,1.98,242500,2,9,2019,46,0,0,1,1,1,0,0,0,1513,1,0,1,1,1.9,5.333333333,1506,15,2.0,3,1,39,275000.0,0,pink
4625,-97.85736084,30.14990425,1.98,499000,4,3,2019,67,0,4,3,0,0,0,0,0,4048,1,0,1,1,1.366666667,7.333333333,1633,17,4.0,5,2,17,523915.0,0,pink
4626,-97.85520172,30.15248871,1.98,355000,2,5,2018,1,0,5,1,0,0,0,0,0,2142,1,0,1,1,1.233333333,7.333333333,1633,17,2.0,3,1,23,312900.0,0,pink
4627,-97.80451965,30.14635086,1.98,325000,1,4,2018,29,0,3,3,0,0,0,0,0,2284,1,0,1,1,1.166666667,3.666666667,1458,15,3.0,3,2,8,312900.0,0,pink
4628,-97.8445816,30.21344948,1.98,389000,3,8,2019,16,0,5,1,1,1,0,1,0,2036,1,0,1,1,1.4,4.666666667,887,14,3.0,3,2,22,395000.0,0,pink
4629,-97.80670166,30.14677811,1.98,324900,9,10,2018,1,0,8,2,0,0,0,0,0,3500,1,0,1,1,1.133333333,3.666666667,1458,15,4.0,4,2,13,312900.0,0,pink
4630,-97.87432861,30.17280197,1.98,599800,1,10,2020,30,1,5,3,2,0,0,3,0,3074,1,0,1,1,1.233333333,7.333333333,1633,17,4.0,4,2,21,523915.0,0,pink
4631,-97.8344574,30.21596909,1.98,349000,2,5,2018,25,0,4,1,0,0,0,0,0,1689,1,0,1,1,1.1,4.666666667,887,14,2.0,3,1,46,395000.0,0,pink
4632,-97.91921234,30.18450165,1.98,595000,1,8,2019,1,0,4,1,2,2,0,1,0,3583,1,0,1,1,2.2,8.0,1655,18,4.0,4,2,13,523915.0,0,pink
