,livingAreaSqFt,livingAreaSqFt,age,age,avgSchoolRating,avgSchoolRating,price,price
,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,
dark purple,5668.254143646409,5225.0,20.76795580110497,16.0,7.096700270392265,7.0,3190449.7071823203,2750000.0
light purple,3058.602878257487,2927.0,33.33683391676391,25.0,6.880551913014003,7.0,946828.632049786,839000.0
pink,1964.5797750977836,1819.0,32.29995110821382,29.0,5.532103841917781,5.333333333,380643.1362451108,370000.0
