,latitude,longitude,propertyTaxRate,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,price,numPriceChanges,saleDate,saleMonth,saleYear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,value,ageCategory,zipcode,zipcode_median
1351,30.43810844,-97.81723785,1.98,True,True,True,True,False,False,Single Family,1998,429999,2,3/29/2019,3,2019,Agent Provided,39,0,0,2,0,0,0,0,0,8973,2874,1,0,1,1,1.166666667,8.0,1275,15,3.0,4,2,23,Median or Above,20-30 Yrs,78726,489000.0
1352,30.37624931,-97.91300201,1.98,True,True,False,True,True,True,Single Family,2006,6200000,5,4/30/2019,4,2019,Agent Provided,40,0,3,1,0,0,0,0,0,257004,11622,1,0,1,1,2.766666667,8.333333333,1476,17,8.0,5,2,15,Median or Above,10-20 Yrs,78732,550000.0
1353,30.16947365,-97.6135025,1.98,True,True,True,True,False,False,Single Family,2012,199990,1,4/13/2020,4,2020,Broker Provided,40,0,3,2,2,0,0,0,0,7013,2064,1,0,1,1,0.633333333,3.333333333,1626,14,3.0,3,2,9,Below Median,<=10 Yrs,78617,199800.0
1354,30.48926735,-97.79481506,2.21,True,True,False,True,False,True,Single Family,2014,645000,1,12/11/2019,12,2019,Broker Provided,1,0,5,2,2,2,0,1,0,7405,3401,1,0,1,1,3.333333333,7.666666667,1259,14,5.0,4,2,7,Median or Above,<=10 Yrs,78717,410000.0
1355,30.28800392,-97.64629364,1.98,True,True,True,True,False,True,Single Family,1980,182000,3,7/19/2019,7,2019,Agent Provided,26,0,2,2,1,1,0,0,0,4356,1320,1,0,1,2,3.166666667,3.666666667,1085,11,2.0,3,1,41,Below Median,40-50 Yrs,78724,249000.0
1356,30.39302635,-97.82753754,1.98,True,True,True,True,False,False,Condo,2013,365000,1,3/20/2020,3,2020,Agent Provided,43,0,2,2,1,1,0,0,0,6368,1941,1,0,1,1,0.566666667,7.0,1381,16,3.0,3,2,8,Below Median,<=10 Yrs,78750,585000.0
1357,30.33148766,-97.82623291,1.98,True,True,True,True,False,False,Single Family,1996,789900,1,9/16/2020,9,2020,Realty Austin,41,0,3,2,1,1,0,0,0,18295,2246,1,0,1,1,5.166666667,7.0,1177,16,3.0,3,2,25,Median or Above,20-30 Yrs,78730,887450.0
1358,30.25938606,-97.57196045,1.98,True,True,False,True,False,False,Single Family,2017,235000,1,4/30/2019,4,2019,Agent Provided,30,0,3,1,0,0,0,1,0,5749,2047,1,0,1,1,2.8,2.666666667,1478,13,2.0,4,1,4,Below Median,<=10 Yrs,78724,249000.0
1359,30.33948898,-97.91324615,1.98,True,True,False,True,False,False,Single Family,2012,690000,1,4/19/2018,4,2018,Agent Provided,29,0,3,1,0,0,0,0,0,13939,3577,1,0,1,1,2.933333333,8.333333333,1533,17,4.0,4,2,9,Median or Above,<=10 Yrs,78732,550000.0
1360,30.45148468,-97.79327393,2.21,False,True,True,True,False,False,Single Family,1971,399000,2,9/10/2020,9,2020,Broker Provided,31,0,5,3,1,0,0,0,0,17859,1707,1,0,1,1,0.7,6.0,1307,14,2.0,3,1,50,Below Median,40-50 Yrs,78750,585000.0
1361,30.3338871,-97.86950684,1.98,True,True,False,True,False,False,Single Family,2006,529900,9,2/1/2020,2,2020,Broker Provided,37,0,3,1,2,1,0,1,0,11761,3258,0,0,0,0,1.838295659,5.77869409,1237,15,4.0,4,2,15,Median or Above,10-20 Yrs,78733,775000.0
1362,30.49178314,-97.80027008,2.21,True,True,True,True,False,False,Single Family,2016,362500,1,8/3/2018,8,2018,Agent Provided,40,0,5,3,0,0,0,0,0,9583,2472,1,0,1,1,2.2,8.333333333,1481,16,3.0,4,2,5,Below Median,<=10 Yrs,78717,410000.0
1363,30.28529358,-97.64630127,1.98,True,True,True,True,False,False,Single Family,2007,345000,2,5/11/2018,5,2018,Agent Provided,34,0,6,2,0,0,0,0,0,6795,1419,1,0,1,2,3.233333333,3.666666667,1085,11,3.0,2,2,14,Below Median,10-20 Yrs,78724,249000.0
1364,30.23859215,-97.58158875,1.98,True,True,False,True,False,True,Single Family,2012,125595,2,4/27/2018,4,2018,Agent Provided,1,0,4,1,0,0,0,0,0,6969,1598,1,0,1,1,1.8,3.0,1457,13,2.5,4,2,9,Below Median,<=10 Yrs,78725,204200.0
1365,30.37236786,-97.84334564,1.98,True,True,True,True,False,True,Single Family,1998,315900,4,6/8/2020,6,2020,Agent Provided,93,0,3,2,2,1,0,2,0,6621,2470,1,0,1,1,1.566666667,7.0,1381,16,3.0,3,2,23,Below Median,20-30 Yrs,78730,887450.0
